Plant name - Argentina,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
Atucha[4],1,PHWR,Siemens-KWU,Operational,335,1 Jun 1968,24 Jun 1974,
Atucha[4],2,PHWR,Siemens-KWU,Operational,692,14 Jul 1981,27 Jun 2014,
Atucha[4],3,PWR,Hualong One,Planned[5],1200,,,
Embalse[6],1,PHWR,CANDU-6,Operational,600,1 Apr 1974,20 Jan 1984,(2049)[7]
CAREM,1,PWR,CAREM25,Under construction,25,8 Feb 2014,,
Plant name - Armenia,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
Metsamor,1,PWR,VVER-440/V-270,Shut down,376,1 Jul 1969,6 Oct 1977,25 Feb 1989
Metsamor,2,PWR,VVER-440/V-270,Operational,375,1 Jul 1975,3 May 1980,(2026)[8]
Plant name - Austria,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
Zwentendorf,1,BWR,BWR-69 (KWU),Finished; never entered service,878,Apr 1972,,5 Nov 1978
Plant name - Bangladesh,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
Rooppur,1,PWR,VVER-1200/V-523,Under construction,1080,30 Nov 2017[9],(2024)[10],
Rooppur,2,PWR,VVER-1200/V-523,Under construction,1080,14 Jul 2018,(2025),
Plant name - Belarus,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
Ostrovets,1,PWR,VVER-1200/V-491,Operational,1109,6 Nov 2013,10 Jun 2021[11],
Ostrovets,2,PWR,VVER-1200/V-491,Operational,1109,24 Apr 2014,1 Nov 2023[12],
Minsk,1,PWR,VVER-1000,Unfinished,963,1983,,1987.0
Minsk,2,PWR,VVER-1000,Unfinished,963,1983,,1987.0
Plant name - Belgium,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
SCK•CEN,1,PWR,Westinghouse (WH) BR-3,Decommissioned,10,1 Nov 1957,10 Oct 1962,30 Jun 1987
Doel,1,PWR,WH 2 loops,Operational,445,1 Jul 1969,15 Feb 1975,(2025)
Doel,2,PWR,WH 2 loops,Operational,445,1 Sep 1971,1 Dec 1975,(2025)
Doel,3,PWR,Framatome 3 loops,Shut down,1006,1 Jan 1975,1 Oct 1982,23 Sep 2022[13]
Doel,4,PWR,Belgian firms plus WH 3 loops,Operational,1039,1 Dec 1978,1 Jul 1985,(2035)[14]
Tihange,1,PWR,Framatome 3 loops,Operational,962,1 Jun 1970,1 Oct 1975,(2025)
Tihange,2,PWR,Framatome 3 loops,Shut down,1008,1 Apr 1976,1 Jun 1983,31 Jan 2023[15]
Tihange,3,PWR,Belgian firms plus WH 3 loops,Operational,1046,1 Nov 1978,1 Sep 1985,(2035)
Plant name - Brazil,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
Angra,1,PWR,WH 2 loops,Operational,609,1 May 1971,1 Jan 1985,
Angra,2,PWR,Pre-Konvoi,Operational,1275,1 Jan 1976,1 Feb 2001,
Angra,3,PWR,Pre-Konvoi,Under construction,1245,1 Jun 2010,(2028)[16],
Plant name - Bulgaria,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
Kozloduy,1,PWR,VVER-440/V-230,Shut down,408,1 Apr 1970,28 Oct 1974,31 Dec 2002
Kozloduy,2,PWR,VVER-440/V-230,Shut down,408,1 Apr 1970,10 Nov 1975,31 Dec 2002
Kozloduy,3,PWR,VVER-440/V-230,Shut down,408,1 Oct 1973,20 Jan 1981,31 Dec 2006
Kozloduy,4,PWR,VVER-440/V-230,Shut down,408,1 Oct 1973,20 Jun 1982,31 Dec 2006
Kozloduy,5,PWR,VVER-1000/V-320,Operational,1003,9 Jul 1980,23 Dec 1988,
Kozloduy,6,PWR,VVER-1000/V-320,Operational,1003,1 Apr 1982,30 Dec 1993,
Kozloduy,7,PWR,AP1000,Planned[17],1150,,(2033)[17],
Kozloduy,8,PWR,AP1000,Planned[17],1150,,,
Belene,1,PWR,VVER-1000/V-320 VVER-1000/V-446B,Unfinished,953 1011,1987 2008,,
Belene,2,PWR,VVER-1000/V-320 VVER-1000/V-446B,Unfinished,953 1011,1987 2008,,
Plant name - Canada,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
Pickering,1,PHWR,CANDU 500A,Operational,515,Jun 1966,29 Jul 1971,(2024)
Pickering,2,PHWR,CANDU 500A,Shut down,515,Sep 1966,30 Dec 1971,31 Dec 1997[18]
Pickering,3,PHWR,CANDU 500A,Shut down,515,Dec 1967,1 Jun 1972,29 Dec 1997
Pickering,4,PHWR,CANDU 500A,Operational,515,May 1968,17 Jun 1973,(2024)
Pickering,5,PHWR,CANDU 500B,Operational,516,Nov 1974,10 May 1983,(2026)
Pickering,6,PHWR,CANDU 500B,Operational,516,Oct 1975,1 Feb 1984,(2026)
Pickering,7,PHWR,CANDU 500B,Operational,516,Mar 1976,1 Jan 1985,(2026)
Pickering,8,PHWR,CANDU 500B,Operational,516,Sep 1976,28 Feb 1986,(2026)[19]
Darlington,1,PHWR,CANDU 850,Operational,878,Apr 1982,14 Nov 1992,(2052)
Darlington,2,PHWR,CANDU 850,Operational,878,Sep 1981,9 Oct 1990,(2050)
Darlington,3,PHWR,CANDU 850,Operational,878,Sep 1984,14 Feb 1993,(2053)
Darlington,4,PHWR,CANDU 850,Operational,878,Jul 1985,14 Jun 1993,(2053)
Darlington,5[20],BWR,BWRX-300,Planned,300,(2023),(2028),
Darlington,6[20],BWR,BWRX-300,Planned,300,(2023),(2028),
Darlington,7,BWR,BWRX-300,Planned,300,(2023),(2029),
Darlington,8,BWR,BWRX-300,Planned,300,(2023),(2029)[21],
Bruce,1,PHWR,CANDU 791,Operational,823,Jun 1971,1 Sep 1977,(2043)
Bruce,2,PHWR,CANDU 791,Operational,823[22],Dec 1970,1 Sep 1977,(2043)
Bruce,3,PHWR,CANDU 750A,Operational,817,Jul 1972,1 Feb 1978,(2064)[23]
Bruce,4,PHWR,CANDU 750A,Operational,817,Sep 1972,18 Jan 1979,(2064)
Bruce,5,PHWR,CANDU 750B,Operational,817,Jun 1978,1 Mar 1985,(2064)
Bruce,6,PHWR,CANDU 750B,Operational,880[24],Jan 1978,15 Sep 1984,(2064)
Bruce,7,PHWR,CANDU 750B,Operational,817,May 1979,10 Apr 1986,(2064)
Bruce,8,PHWR,CANDU 750B,Operational,817,Aug 1979,22 May 1987,(2064)
NPD,1,PHWR,CANDU,Shut down,19,Jan 1958,4 Jun 1962,1 Aug 1987
Douglas Point,1,PHWR,CANDU 200,Shut down,200,Feb 1960,26 Sep 1968,4 May 1984
Gentilly,1,BWR,CANDU BLWR 250,Shut down,250,Sep 1966,1 May 1972,1 June 1977
Gentilly,2,PHWR,CANDU-6,Shut down,635,Apr 1974,1 Oct 1983,28 Dec 2012
Point Lepreau,1,PHWR,CANDU-6,Operational,635,May 1975,1 Feb 1983,(2041)
Plant name - China,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
Bailong,1,PWR,CAP-1000,Planned,1100,,,
Bailong,2,PWR,CAP-1000,Planned,1100,,,
Changjiang,I-1,PWR,CNP-600,Operational,601,25 Apr 2010,25 Dec 2015,
Changjiang,I-2,PWR,CNP-600,Operational,601,21 Nov 2010,20 Jun 2016,
Changjiang,I-3[25],PWR,Hualong One,Under construction,1200,31 Mar 2021[26],,
Changjiang,I-4[25],PWR,Hualong One,Under construction,1200,31 Mar 2021[26],,
Changjiang,II-1,PWR,ACP-100,Under construction,100,13 Jul 2021,,
Changjiang,II-2,PWR,ACP-100,Planned,100,,,
Daya Bay,1,PWR,M-310,Operational,944,7 Aug 1987,1 Feb 1994,
Daya Bay,2,PWR,M-310,Operational,944,7 Apr 1988,6 May 1994,
Fangchenggang,1,PWR,CPR-1000,Operational,1000,30 Jul 2010,25 Oct 2015,
Fangchenggang,2,PWR,CPR-1000,Operational,1000,23 Dec 2010,15 Jul 2016,
Fangchenggang,3,PWR,Hualong One,Operational,1000,24 Dec 2015,25 Mar 2023,
Fangchenggang,4,PWR,Hualong One,Operational,1000,24 Dec 2016,25 May 2024,
Fangchenggang,5,PWR,Hualong One,Planned,1117,,,
Fangchenggang,6,PWR,Hualong One,Planned,1117,,,
Fangjiashan,1,PWR,CPR-1000,Operational,1012,26 Dec 2008,15 Dec 2014,
Fangjiashan,2,PWR,CPR-1000,Operational,1012,17 Jul 2009,12 Feb 2015,
Fuqing,1,PWR,CPR-1000,Operational,1000,21 Nov 2008,19 Nov 2014,
Fuqing,2,PWR,CPR-1000,Operational,1000,17 Jun 2009,15 Oct 2015,
Fuqing,3,PWR,CPR-1000,Operational,1000,31 Dec 2010,7 Sep 2016,
Fuqing,4,PWR,CPR-1000,Operational,1000,17 Nov 2012,31 Jul 2017,
Fuqing,5,PWR,Hualong One,Operational,1000,15 Apr 2015,30 Jan 2021[27],
Fuqing,6,PWR,Hualong One,Operational,1000,22 Dec 2015,25 Mar 2022[28],
Haiyang,1,PWR,AP1000,Operational,1170,24 Sep 2009,23 Oct 2018[29],
Haiyang,2,PWR,AP1000,Operational,1170,20 Jun 2010,9 Jan 2019[30],
Haiyang,3,PWR,CAP-1000,Under construction,1100,7 Jul 2022[31],,
Haiyang,4,PWR,CAP-1000,Under construction,1100,22 Apr 2023[32],,
Haixing[33],1,PWR,CAP-1000,Planned,1100,,,
Haixing[33],2,PWR,CAP-1000,Planned,1100,,,
Hongyanhe,1,PWR,CPR-1000,Operational,1061,18 Aug 2007,6 Jun 2013,
Hongyanhe,2,PWR,CPR-1000,Operational,1061,28 Mar 2008,13 May 2014,
Hongyanhe,3,PWR,CPR-1000,Operational,1061,7 Mar 2009,23 Mar 2015,
Hongyanhe,4,PWR,CPR-1000,Operational,1061,15 Aug 2009,1 Apr 2016,
Hongyanhe,5,PWR,ACPR-1000,Operational,1061,29 Mar 2015,2 Aug 2021[34],
Hongyanhe,6,PWR,ACPR-1000,Operational,1061,24 Jul 2015,23 Jun 2022,
Jinqimen,1,PWR,Hualong One,Planned,1126,,,
Jinqimen,2,PWR,Hualong One,Planned,1126,,,
Lianjiang[35],1,PWR,CAP-1000,Under construction,1100,27 Sep 2023,,
Lianjiang[35],2,PWR,CAP-1000,Under construction,1100,26 April 2024,,
Ling Ao,1,PWR,M-310,Operational,950,15 May 1997,28 May 2002,
Ling Ao,2,PWR,M-310,Operational,950,28 Nov 1997,8 Jan 2003,
Ling Ao,3,PWR,CPR-1000,Operational,1007,15 Dec 2005,15 Sep 2010,
Ling Ao,4,PWR,CPR-1000,Operational,1007,15 Jun 2006,7 Aug 2011,
Lufeng,1,PWR,CAP-1000,Planned,1100,,,
Lufeng,2,PWR,CAP-1000,Planned,1100,,,
